Age,Attrition,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_travel_frequently,BusinessTravel_travel_rarely,Department_research & development,Department_sales,EducationField_life sciences,EducationField_marketing,EducationField_medical,EducationField_other,EducationField_technical degree,JobRole_human resources,JobRole_laboratory technician,JobRole_manager,JobRole_manufacturing director,JobRole_research director,JobRole_research scientist,JobRole_sales executive,JobRole_sales representative,MaritalStatus_married,MaritalStatus_single
37,1,1373,2,2,1,4,4,1,92,2,1,3,2090,2396,6,y,1,15,3,2,80,0,7,3,3,0,0,0,0,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
33,0,1392,3,4,1,5,4,0,56,3,1,3,2909,23159,1,y,1,11,3,3,80,0,8,3,3,8,7,3,0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
32,0,1005,2,2,1,8,4,1,79,3,1,4,3068,11864,0,y,0,13,3,3,80,0,8,2,2,7,7,3,6,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
29,0,153,15,2,1,15,4,0,49,2,2,3,4193,12682,0,y,1,12,3,4,80,0,10,3,3,9,5,0,8,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
31,0,670,26,1,1,16,1,1,31,3,1,3,2911,15170,1,y,0,17,3,4,80,1,5,1,2,5,2,4,3,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
34,0,1346,19,2,1,18,2,1,93,3,1,4,2661,8758,0,y,0,11,3,3,80,1,3,2,3,2,2,1,2,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
28,1,103,24,3,1,19,3,1,50,2,1,3,2028,12947,5,y,1,14,3,2,80,0,6,4,3,4,2,0,3,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
22,0,1123,16,2,1,22,4,1,96,4,1,4,2935,7324,1,y,1,13,3,2,80,2,1,2,2,1,0,0,0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
38,0,371,2,3,1,24,4,1,45,3,1,4,3944,4306,5,y,1,11,3,3,80,0,6,3,3,3,2,1,2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
34,0,419,7,4,1,28,1,0,53,3,3,2,11994,21293,0,y,0,11,3,3,80,0,13,4,3,12,6,2,11,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
34,1,699,6,1,1,31,2,1,83,3,1,1,2960,17102,2,y,0,11,3,3,80,0,8,2,3,4,2,1,3,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
42,0,691,8,4,1,35,3,1,48,3,2,2,6825,21173,0,y,0,11,3,4,80,1,10,2,3,9,7,4,2,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
33,0,924,2,3,1,39,3,1,78,3,1,4,2496,6670,4,y,0,11,3,4,80,0,7,3,3,1,1,0,0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
24,1,813,1,3,1,45,2,1,61,3,1,4,2293,3020,2,y,1,16,3,1,80,1,6,2,2,2,0,2,0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
43,0,1273,2,2,1,46,4,0,72,4,1,3,2645,21923,1,y,0,12,3,4,80,2,6,3,2,5,3,1,4,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
50,1,869,3,2,1,47,1,1,86,2,1,3,2683,3810,1,y,1,14,3,3,80,0,3,2,3,3,2,0,2,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False
35,0,890,2,3,1,49,4,0,97,3,1,4,2014,9687,1,y,0,13,3,1,80,0,2,3,3,2,2,2,2,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False
33,0,1141,1,3,1,52,3,0,42,4,2,1,5376,3193,2,y,0,19,3,1,80,2,10,3,3,5,3,1,3,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
35,0,464,4,2,1,53,3,1,75,3,1,4,1951,10910,1,y,0,12,3,3,80,1,1,3,3,1,0,0,0,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
26,1,1357,25,3,1,55,1,1,48,1,1,3,2293,10558,1,y,0,12,3,3,80,0,1,2,2,1,0,0,1,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
35,0,1229,8,1,1,63,4,1,36,4,1,4,2269,4892,1,y,0,19,3,4,80,0,1,2,3,1,0,0,1,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
28,1,1434,5,4,1,65,3,1,50,3,1,3,3441,11179,1,y,1,13,3,3,80,0,2,3,2,2,2,2,2,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
35,0,1097,11,2,1,70,3,1,79,2,3,1,9884,8302,2,y,1,13,3,3,80,1,10,3,3,4,0,2,3,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
26,0,1443,23,3,1,72,3,0,47,2,2,4,4157,21436,7,y,1,19,3,3,80,1,5,2,2,2,2,0,0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
35,0,1142,23,4,1,75,3,0,30,3,1,1,4014,16002,3,y,1,15,3,3,80,1,4,3,3,2,2,2,2,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
37,0,1115,1,4,1,77,1,1,51,2,2,3,5993,2689,1,y,0,18,3,3,80,1,7,2,4,7,5,0,7,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
36,0,1195,11,3,1,85,2,1,95,2,2,2,6499,22656,1,y,0,13,3,3,80,0,6,3,3,6,5,0,3,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
35,0,664,1,3,1,88,2,1,79,3,1,1,2194,5868,4,y,0,13,3,4,80,1,5,2,2,3,2,1,2,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
59,0,1225,1,1,1,91,1,0,57,2,2,3,5473,24668,7,y,0,11,3,4,80,0,20,2,2,4,3,1,3,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
31,0,1082,1,4,1,95,3,1,87,3,1,2,2501,18775,1,y,0,17,3,2,80,0,1,4,3,1,1,1,0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
32,0,548,1,3,1,96,2,1,66,3,2,2,6220,7346,1,y,0,17,3,2,80,2,10,3,3,10,4,0,9,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
36,0,132,6,3,1,97,2,0,55,4,1,4,3038,22002,3,y,0,12,3,2,80,0,5,3,3,1,0,0,0,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
35,0,776,1,4,1,100,3,1,32,2,2,1,4312,23016,0,y,0,14,3,2,80,0,16,2,3,15,13,2,8,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
45,0,193,6,4,1,101,4,1,52,3,3,1,13245,15067,4,y,1,14,3,2,80,0,17,3,4,0,0,0,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
37,0,397,7,4,1,102,1,1,30,3,3,3,13664,25258,4,y,0,13,3,1,80,0,16,3,4,5,2,0,2,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
30,0,852,1,1,1,104,4,1,55,2,2,4,5126,15998,1,y,1,12,3,3,80,2,10,1,2,10,8,3,0,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
35,0,1214,1,3,1,105,2,1,30,2,1,3,2859,26278,1,y,0,18,3,1,80,0,6,3,3,6,4,0,4,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
34,0,1153,1,2,1,110,1,1,94,3,2,2,4325,17736,1,y,0,15,3,3,80,0,5,2,3,5,2,1,3,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
23,0,541,2,1,1,113,3,1,62,3,1,1,2322,9518,3,y,0,13,3,3,80,1,3,3,3,0,0,0,0,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
46,1,669,9,2,1,118,3,1,64,2,3,4,9619,13596,1,y,0,16,3,4,80,0,9,3,3,9,8,4,7,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
28,0,120,4,3,1,129,2,1,43,3,2,3,4221,8863,1,y,0,15,3,2,80,0,5,3,4,5,4,0,4,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
44,0,489,23,3,1,132,2,1,67,3,2,2,2042,25043,4,y,0,12,3,3,80,1,17,3,4,3,2,1,2,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
32,0,827,1,1,1,134,4,1,71,3,1,1,2956,15178,1,y,0,13,3,4,80,0,1,2,3,1,0,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
